ad_category_1,users,questions_per_ad_avg,contacts_per_ad_avg,comments_per_ad_avg,comment_sentiment_avg,followers_count,avg_views_per_day,deal_success_rate,response_time_minutes,scenario,seg_users,seg_share,base_seller_share,concentration_idx,questions_per_ad_avg_idx,contacts_per_ad_avg_idx,comments_per_ad_avg_idx,comment_sentiment_avg_idx,followers_count_idx,avg_views_per_day_idx,deal_success_rate_idx,response_speed_idx,engagement_idx,priority_score
Авто,24,6.179166666666667,6.179166666666666,4.0125,0.7475,217.20833333333334,154.375,0.8224999999999999,44.06956521739131,strict,193,0.12435233160621761,0.16015096776797788,0.7764694359285778,2.4034480548149095,1.0256667667232724,1.000239673837302,1.0428092629878898,0.6521799986369009,0.770168169800695,1.0090434041305691,0.7667260094957173,1.083785167553407,0.841526057717953
Недвижимость,17,4.917647058823529,5.382352941176471,2.847058823529412,0.7194117647058824,323.29411764705884,409.47058823529414,0.7923529411764706,33.51764705882353,strict,193,0.08808290155440414,0.10947181464064423,0.8046171687529613,1.9127675130620099,0.8934053467630425,0.7097174302910085,1.0036244175755964,0.9707084160661894,2.0428256746778333,0.9720589775532822,1.0081042329743928,1.1891515011204195,0.9568117140498458
Хобби и отдых,16,6.5375,5.4125000000000005,4.53125,0.6849999999999999,296.8125,189.875,0.74375,17.759999999999998,strict,193,0.08290155440414508,0.11932104870123317,0.6947772862080813,2.5428253526666165,0.8984093931042015,1.1295541488038068,0.9556178530390693,0.8911958987703746,0.9472756679572921,0.9124328654372169,1.9025496553683392,1.2724826043933646,0.8840920106274134
Электроника,55,5.389090909090909,6.3927272727272735,3.4781818181818185,0.7261818181818182,336.8,186.61818181818182,0.8165454545454545,28.68679245283019,strict,193,0.2849740932642487,0.19103073849072597,1.4917708820880857,2.0961402663803517,1.061115238682972,0.8670443482529635,1.0130690657035284,1.0112605726034523,0.931027585700032,1.0017383648412017,1.1778689421238555,1.1449080480360445,1.7079404887284786
Авто,137,4.338686131386861,5.5510948905109485,3.72992700729927,0.702919708029197,272.6934306569343,177.6058394160584,0.8113138686131387,37.89,relaxed,881,0.15550510783200908,0.16015096776797788,0.9709907470387591,1.687574928054081,0.9214144649695658,0.929799619493574,0.9806169667820596,0.8187770630383944,0.8860655176614207,0.9953202526489275,0.8917730767838928,1.0139177361789895,0.9845047400882845
Недвижимость,84,4.396428571428571,5.934523809523809,3.9607142857142854,0.7291666666666666,278.4761904761905,234.41666666666666,0.8033333333333333,29.18313253012048,relaxed,881,0.09534619750283768,0.10947181464064423,0.8709657167538899,1.7100344218151353,0.9850590178432738,0.9873304835652584,1.017233116069569,0.8361401182820084,1.1694915312547125,0.9855297280464729,1.1578360151867564,1.1060818040078984,0.9633593312161748
Хобби и отдых,103,4.5106796116504855,6.244660194174758,4.693203883495145,0.6845631067961165,366.43689320388347,240.9902912621359,0.8005825242718446,28.450526315789475,relaxed,881,0.11691259931895573,0.11932104870123317,0.9798153853951792,1.7544734951068854,1.0365378984185698,1.1699261611661416,0.9550083596879709,1.100246978754125,1.2022869736751134,0.9821550341382446,1.1876505026407658,1.1735356754484771,1.1498483101145416
Электроника,187,4.73903743315508,5.839572192513369,4.047593582887701,0.6997326203208556,332.2352941176471,206.97860962566844,0.8196256684491979,33.58779069767442,relaxed,881,0.2122587968217934,0.19103073849072597,1.1111237830036342,1.8432955307476657,0.9692982003628836,1.0089878343111651,0.976170780047326,0.9975547914741335,1.0326046119079746,1.0055171727717593,1.0059989412069674,1.1049284828537345,1.2277123158169077
Авто,151,4.362913907284768,6.711258278145695,4.00794701986755,0.7013907284768212,333.3973509933775,161.02649006622516,0.8578807947019867,24.877372262773722,step5_top1000,1000,0.151,0.16015096776797788,0.9428603654694392,1.696998561368333,1.1139875245513944,0.999104702781185,0.9784839446547865,1.0010439313243382,0.8033520786638668,1.0524485804551134,1.358233559494693,1.1254566104117136,1.0611484310127846
Недвижимость,112,4.653571428571429,7.165178571428571,3.832142857142857,0.7200892857142858,350.07142857142856,226.17857142857142,0.87875,20.79056603773585,step5_top1000,1000,0.112,0.10947181464064423,1.023094395280236,1.8100526820675236,1.1893327911021472,0.9552800801312193,1.0045696017674786,1.0511087687329317,1.1283921386576752,1.0780509317686782,1.6252218346538796,1.2302511036101917,1.258663008890912
